COMBAT_ID_Time,pseudobulk,variable,value
G05164-Ja005,B.NAIVE,IGHA1,0
G05164-Ja005,B.INT,IGHA1,0.02857142857142857
G05164-Ja005,B.MEM,IGHA1,0.13157894736842105
G05164-Ja005,PB,IGHA1,0.3888888888888889
G05171-Ja005,B.NAIVE,IGHA1,0
G05171-Ja005,B.INT,IGHA1,0
G05171-Ja005,B.MEM,IGHA1,0.19047619047619047
G05171-Ja005,PB,IGHA1,0.43478260869565216
H00049-Ha001,B.NAIVE,IGHA1,0
H00049-Ha001,B.INT,IGHA1,0.012048192771084338
H00049-Ha001,B.MEM,IGHA1,0.1559633027522936
H00049-Ha001,PB,IGHA1,0.23076923076923078
H00052-Ha001,B.NAIVE,IGHA1,0
H00052-Ha001,B.INT,IGHA1,0
H00052-Ha001,B.MEM,IGHA1,0.2037037037037037
H00052-Ha001,PB,IGHA1,0.2777777777777778
H00053-Ha001,B.NAIVE,IGHA1,0
H00053-Ha001,B.INT,IGHA1,0.011363636363636364
H00053-Ha001,B.MEM,IGHA1,0.16455696202531644
H00053-Ha001,PB,IGHA1,0.3888888888888889
H00054-Ha001,B.NAIVE,IGHA1,0
H00054-Ha001,B.INT,IGHA1,0.046242774566473986
H00054-Ha001,B.MEM,IGHA1,0.27007299270072993
H00054-Ha001,PB,IGHA1,0.16666666666666666
H00058-Ha001,B.NAIVE,IGHA1,0
H00058-Ha001,B.INT,IGHA1,0
H00058-Ha001,B.MEM,IGHA1,0.19230769230769232
H00058-Ha001,PB,IGHA1,0.4482758620689655
H00064-Ha001,B.NAIVE,IGHA1,0
H00064-Ha001,B.INT,IGHA1,0.02
H00064-Ha001,B.MEM,IGHA1,0.3684210526315789
H00064-Ha001,PB,IGHA1,0.4074074074074074
H00067-Ha001,B.NAIVE,IGHA1,0
H00067-Ha001,B.INT,IGHA1,0.031914893617021274
H00067-Ha001,B.MEM,IGHA1,0.3333333333333333
H00067-Ha001,PB,IGHA1,0.18518518518518517
H00070-Ha001,B.NAIVE,IGHA1,0
H00070-Ha001,B.INT,IGHA1,0.06818181818181818
H00070-Ha001,B.MEM,IGHA1,0.5967741935483871
H00070-Ha001,PB,IGHA1,0.08333333333333333
H00072-Ha001,B.NAIVE,IGHA1,0
H00072-Ha001,B.INT,IGHA1,0
H00072-Ha001,B.MEM,IGHA1,0.3181818181818182
H00072-Ha001,PB,IGHA1,0.25
H00085-Ha001,B.NAIVE,IGHA1,0
H00085-Ha001,B.INT,IGHA1,0
H00085-Ha001,B.MEM,IGHA1,0.3918918918918919
H00085-Ha001,PB,IGHA1,0.3
N00006-Ja003,B.NAIVE,IGHA1,0
N00006-Ja003,B.INT,IGHA1,0
N00006-Ja003,B.MEM,IGHA1,0.15
N00006-Ja003,PB,IGHA1,0.391304347826087
N00007-Ja003,B.NAIVE,IGHA1,0
N00007-Ja003,B.INT,IGHA1,0.008849557522123894
N00007-Ja003,B.MEM,IGHA1,0.29411764705882354
N00007-Ja003,PB,IGHA1,0.06060606060606061
N00012-Ja003,B.NAIVE,IGHA1,0
N00012-Ja003,B.INT,IGHA1,0
N00012-Ja003,B.MEM,IGHA1,0.15789473684210525
N00012-Ja003,PB,IGHA1,0.2631578947368421
N00017-Ja003,B.NAIVE,IGHA1,0
N00017-Ja003,B.INT,IGHA1,0
N00017-Ja003,B.MEM,IGHA1,0
N00017-Ja003,PB,IGHA1,0.125
N00021-Ja001,B.NAIVE,IGHA1,0
N00021-Ja001,B.INT,IGHA1,0.024242424242424242
N00021-Ja001,B.MEM,IGHA1,0.18075801749271136
N00021-Ja001,PB,IGHA1,0.058823529411764705
N00024-Ja001,B.NAIVE,IGHA1,0
N00024-Ja001,B.INT,IGHA1,0
N00024-Ja001,B.MEM,IGHA1,0.3076923076923077
N00024-Ja001,PB,IGHA1,0.6666666666666666
N00025-Ja001,B.NAIVE,IGHA1,0
N00025-Ja001,B.INT,IGHA1,0
N00025-Ja001,B.MEM,IGHA1,0.3333333333333333
N00025-Ja001,PB,IGHA1,0.25
N00028-Ja001,B.NAIVE,IGHA1,0
N00028-Ja001,B.INT,IGHA1,0.05263157894736842
N00028-Ja001,B.MEM,IGHA1,0.31186440677966104
N00028-Ja001,PB,IGHA1,0.37037037037037035
N00032-Ja001,B.NAIVE,IGHA1,0
N00032-Ja001,B.INT,IGHA1,0.05572755417956656
N00032-Ja001,B.MEM,IGHA1,0.23872679045092837
N00032-Ja001,PB,IGHA1,0.4117647058823529
N00033-Ja001,B.NAIVE,IGHA1,0
N00033-Ja001,B.INT,IGHA1,0
N00033-Ja001,B.MEM,IGHA1,0.38333333333333336
